symbol,name,market,signal_date,entry_date,exit_date,hold_days,entry_price,exit_price,ret_pct,mae_pct,exit_reason
000007,全新好,0,2023-11-15,2023-11-16,2023-11-16,1,5.06,4.99928,-1.358033,-1.2,止损
000007,全新好,0,2023-11-17,2023-11-20,2023-11-20,1,5.03,4.96964,-1.358033,-1.2,止损
000020,深华发Ａ,0,2023-11-22,2023-11-23,2023-11-23,1,12.51,12.73,1.595828,0.0,时间退出
000025,特 力Ａ,0,2023-11-24,2023-11-27,2023-11-27,1,16.64,16.44032,-1.358033,-1.2,止损
000026,飞亚达,0,2023-11-28,2023-11-29,2023-11-29,1,12.04,11.89552,-1.358033,-1.2,止损
000029,深深房Ａ,0,2023-11-28,2023-11-29,2023-11-29,1,12.39,12.37,-0.321114,-0.484262,时间退出
000025,特 力Ａ,0,2023-11-29,2023-11-30,2023-11-30,1,16.8,16.5984,-1.358033,-1.2,止损
000025,特 力Ａ,0,2023-12-04,2023-12-05,2023-12-05,1,16.72,16.51936,-1.358033,-1.2,止损
000009,中国宝安,0,2023-12-05,2023-12-06,2023-12-06,1,11.61,11.72,0.785992,-0.344531,时间退出
000012,南 玻Ａ,0,2023-12-12,2023-12-13,2023-12-13,1,5.58,5.55,-0.696726,-0.537634,时间退出
000006,深振业Ａ,0,2023-12-13,2023-12-14,2023-12-14,1,4.8,4.92,2.336049,0.0,止盈
000019,深粮控股,0,2023-12-13,2023-12-14,2023-12-14,1,7.51,7.69775,2.336049,-0.532623,止盈
000012,南 玻Ａ,0,2023-12-14,2023-12-15,2023-12-15,1,5.55,5.55,-0.159952,0.0,时间退出
000006,深振业Ａ,0,2023-12-15,2023-12-18,2023-12-18,1,4.8,4.7424,-1.358033,-1.2,止损
000007,全新好,0,2023-12-15,2023-12-18,2023-12-18,1,4.99,4.93012,-1.358033,-1.2,止损
000019,深粮控股,0,2023-12-29,2024-01-02,2024-01-02,1,7.51,7.63,1.435362,0.0,时间退出
000027,深圳能源,0,2024-01-09,2024-01-10,2024-01-10,1,6.19,6.14,-0.966414,-0.807754,破均线
000019,深粮控股,0,2024-01-12,2024-01-15,2024-01-15,1,7.51,7.6,1.036533,0.0,时间退出
000027,深圳能源,0,2024-01-15,2024-01-16,2024-01-16,1,6.23,6.24,0.000305,-1.123596,时间退出
000014,沙河股份,0,2024-02-23,2024-02-26,2024-02-26,1,11.75,11.609,-1.358033,-1.2,止损
000027,深圳能源,0,2024-02-27,2024-02-28,2024-02-28,1,6.41,6.57025,2.336049,-0.312012,止盈
000028,国药一致,0,2024-02-29,2024-03-01,2024-03-01,1,31.57,31.19116,-1.358033,-1.2,止损
000020,深华发Ａ,0,2024-03-04,2024-03-05,2024-03-05,1,14.51,14.33588,-1.358033,-1.2,止损
000014,沙河股份,0,2024-03-05,2024-03-06,2024-03-06,1,11.79,11.64852,-1.358033,-1.2,止损
000020,深华发Ａ,0,2024-03-06,2024-03-07,2024-03-07,1,14.45,14.2766,-1.358033,-1.2,止损
000028,国药一致,0,2024-03-07,2024-03-08,2024-03-08,1,31.42,32.1,2.000813,-0.350095,时间退出
000001,平安银行,0,2024-03-08,2024-03-11,2024-03-11,1,10.38,10.47,0.705713,-0.385356,时间退出
000014,沙河股份,0,2024-03-08,2024-03-11,2024-03-11,1,11.88,11.73744,-1.358033,-1.2,止损
000001,平安银行,0,2024-03-12,2024-03-13,2024-03-13,1,10.53,10.40364,-1.358033,-1.2,止损
000012,南 玻Ａ,0,2024-03-13,2024-03-14,2024-03-14,1,5.74,5.74,-0.159952,-0.348432,时间退出
000029,深深房Ａ,0,2024-03-14,2024-03-15,2024-03-15,1,11.49,11.57,0.535192,-0.522193,时间退出
000012,南 玻Ａ,0,2024-03-15,2024-03-18,2024-03-18,1,5.75,5.76,0.013683,-0.869565,时间退出
000020,深华发Ａ,0,2024-03-15,2024-03-18,2024-03-18,1,14.75,14.88,0.719994,-0.881356,时间退出
000001,平安银行,0,2024-03-18,2024-03-19,2024-03-19,1,10.53,10.40364,-1.358033,-1.2,止损
000014,沙河股份,0,2024-03-18,2024-03-19,2024-03-19,1,12.11,12.05,-0.654618,-0.743187,时间退出
000029,深深房Ａ,0,2024-03-18,2024-03-19,2024-03-19,1,11.5,11.362,-1.358033,-1.2,止损
000012,南 玻Ａ,0,2024-03-19,2024-03-20,2024-03-20,1,5.69,5.66,-0.686349,-0.878735,破均线
000014,沙河股份,0,2024-03-20,2024-03-21,2024-03-21,1,12.03,12.05,0.006033,-0.831255,时间退出
000001,平安银行,0,2024-03-21,2024-03-22,2024-03-22,1,10.45,10.3246,-1.358033,-1.2,止损
000027,深圳能源,0,2024-03-25,2024-03-26,2024-03-26,1,6.76,6.929,2.336049,-0.147929,止盈
000001,平安银行,0,2024-03-29,2024-04-01,2024-04-01,1,10.52,10.64,0.978908,-0.095057,时间退出
000028,国药一致,0,2024-04-01,2024-04-02,2024-04-02,1,31.05,31.3,0.643913,-0.289855,时间退出
000001,平安银行,0,2024-04-02,2024-04-03,2024-04-03,1,10.53,10.46,-0.823656,-1.044634,破均线
000007,全新好,0,2024-04-08,2024-04-09,2024-04-09,1,4.46,4.5,0.735474,-0.44843,时间退出
000026,飞亚达,0,2024-04-10,2024-04-11,2024-04-11,1,10.67,10.76,0.682185,-0.281162,时间退出
000028,国药一致,0,2024-04-11,2024-04-12,2024-04-12,1,30.76,30.77,-0.127494,-0.585176,时间退出
000026,飞亚达,0,2024-04-12,2024-04-15,2024-04-15,1,10.75,10.621,-1.358033,-1.2,止损
000026,飞亚达,0,2024-04-19,2024-04-22,2024-04-22,1,10.79,10.66052,-1.358033,-1.2,止损
000001,平安银行,0,2024-04-24,2024-04-25,2024-04-25,1,10.5,10.61,0.885991,-0.190476,时间退出
000012,南 玻Ａ,0,2024-05-07,2024-05-08,2024-05-08,1,5.67,5.61,-1.21646,-1.058201,破均线
000027,深圳能源,0,2024-05-08,2024-05-09,2024-05-09,1,7.32,7.39,0.794803,-0.273224,时间退出
000025,特 力Ａ,0,2024-05-10,2024-05-13,2024-05-13,1,15.22,15.03736,-1.358033,-1.2,止损
000027,深圳能源,0,2024-05-16,2024-05-17,2024-05-17,1,7.39,7.41,0.110251,-0.67659,时间退出
000027,深圳能源,0,2024-05-22,2024-05-23,2024-05-23,1,7.36,7.27168,-1.358033,-1.2,止损
000028,国药一致,0,2024-05-27,2024-05-28,2024-05-28,1,38.65,38.1862,-1.358033,-1.2,止损
000029,深深房Ａ,0,2024-05-27,2024-05-28,2024-05-28,1,12.04,11.89552,-1.358033,-1.2,止损
000029,深深房Ａ,0,2024-05-29,2024-05-30,2024-05-30,1,11.7,11.5596,-1.358033,-1.2,止损
000007,全新好,0,2024-06-07,2024-06-11,2024-06-11,1,4.78,4.8995,2.336049,-1.046025,止盈
000007,全新好,0,2024-06-14,2024-06-17,2024-06-17,1,4.84,4.78192,-1.358033,-1.2,止损
000021,深科技,0,2024-07-12,2024-07-15,2024-07-15,1,15.12,14.93856,-1.358033,-1.2,止损
000007,全新好,0,2024-07-18,2024-07-19,2024-07-19,1,5.31,5.24628,-1.358033,-1.2,止损
000007,全新好,0,2024-07-23,2024-07-24,2024-07-24,1,5.21,5.14748,-1.358033,-1.2,止损
000010,美丽生态,0,2024-08-05,2024-08-06,2024-08-06,1,1.76,1.76,-0.159952,-1.136364,时间退出
000008,神州高铁,0,2024-08-08,2024-08-09,2024-08-09,1,2.09,2.14225,2.336049,-0.478469,止盈
000006,深振业Ａ,0,2024-08-14,2024-08-15,2024-08-15,1,3.75,3.84375,2.336049,-0.533333,止盈
000010,美丽生态,0,2024-08-30,2024-09-02,2024-09-02,1,1.72,1.7,-1.320883,-1.162791,破均线
000016,深康佳Ａ,0,2024-09-02,2024-09-03,2024-09-03,1,2.58,2.54904,-1.358033,-1.2,止损
000011,深物业A,0,2024-09-05,2024-09-06,2024-09-06,1,7.66,7.56808,-1.358033,-1.2,止损
000025,特 力Ａ,0,2024-09-09,2024-09-10,2024-09-10,1,13.98,13.81224,-1.358033,-1.2,止损
000025,特 力Ａ,0,2024-09-11,2024-09-12,2024-09-12,1,13.74,13.76,-0.014624,0.0,时间退出
000026,飞亚达,0,2024-09-20,2024-09-23,2024-09-23,1,8.89,8.93,0.289272,-0.449944,时间退出
000020,深华发Ａ,0,2024-10-10,2024-10-11,2024-10-11,1,13.95,13.7826,-1.358033,-1.2,止损
000020,深华发Ａ,0,2024-10-15,2024-10-16,2024-10-16,1,13.43,13.26884,-1.358033,-1.2,止损
000017,深中华A,0,2024-10-16,2024-10-17,2024-10-17,1,5.99,5.91812,-1.358033,-1.2,止损
000026,飞亚达,0,2024-10-17,2024-10-18,2024-10-18,1,9.57,9.80925,2.336049,-0.731452,止盈
000014,沙河股份,0,2024-10-21,2024-10-22,2024-10-22,1,9.9,10.1475,2.336049,-0.40404,止盈
000012,南 玻Ａ,0,2024-10-24,2024-10-25,2024-10-25,1,5.4,5.535,2.336049,-0.185185,止盈
000028,国药一致,0,2024-10-24,2024-10-25,2024-10-25,1,28.39,28.7,0.930235,-0.634026,时间退出
000001,平安银行,0,2024-10-25,2024-10-28,2024-10-28,1,11.68,11.53984,-1.358033,-1.2,止损
000002,万 科Ａ,0,2024-10-28,2024-10-29,2024-10-29,1,9.31,9.19828,-1.358033,-1.2,止损
000027,深圳能源,0,2024-10-30,2024-10-31,2024-10-31,1,6.77,6.68876,-1.358033,-1.2,止损
000019,深粮控股,0,2024-11-01,2024-11-04,2024-11-04,1,6.66,6.69,0.289778,-1.051051,时间退出
000011,深物业A,0,2024-11-04,2024-11-05,2024-11-05,1,9.65,9.81,1.495427,-0.829016,时间退出
000011,深物业A,0,2024-11-06,2024-11-07,2024-11-07,1,9.69,9.93225,2.336049,0.0,止盈
000011,深物业A,0,2024-11-11,2024-11-12,2024-11-12,1,9.91,10.15775,2.336049,-0.605449,止盈
000020,深华发Ａ,0,2024-11-11,2024-11-12,2024-11-12,1,14.56,14.924,2.336049,-0.412088,止盈
000012,南 玻Ａ,0,2024-11-13,2024-11-14,2024-11-14,1,5.61,5.54268,-1.358033,-1.2,止损
000027,深圳能源,0,2024-11-13,2024-11-14,2024-11-14,1,6.87,6.78756,-1.358033,-1.2,止损
000025,特 力Ａ,0,2024-11-14,2024-11-15,2024-11-15,1,18.29,18.07052,-1.358033,-1.2,止损
000001,平安银行,0,2024-11-21,2024-11-22,2024-11-22,1,11.59,11.45092,-1.358033,-1.2,止损
000019,深粮控股,0,2024-11-21,2024-11-22,2024-11-22,1,6.82,6.73816,-1.358033,-1.2,止损
000020,深华发Ａ,0,2024-11-29,2024-12-02,2024-12-02,1,14.38,14.72,2.200661,-0.208623,时间退出
000009,中国宝安,0,2024-12-03,2024-12-04,2024-12-04,1,10.02,9.89976,-1.358033,-1.2,止损
000012,南 玻Ａ,0,2024-12-03,2024-12-04,2024-12-04,1,5.59,5.52292,-1.358033,-1.2,止损
000020,深华发Ａ,0,2024-12-04,2024-12-05,2024-12-05,1,14.41,14.7,1.84932,-0.763359,时间退出
000029,深深房Ａ,0,2024-12-04,2024-12-05,2024-12-05,1,16.63,16.43044,-1.358033,-1.2,止损
000011,深物业A,0,2024-12-05,2024-12-06,2024-12-06,1,9.77,9.86,0.759762,-0.614125,时间退出
000012,南 玻Ａ,0,2024-12-05,2024-12-06,2024-12-06,1,5.54,5.63,1.461998,-0.180505,时间退出
000017,深中华A,0,2024-12-05,2024-12-06,2024-12-06,1,7.07,6.98516,-1.358033,-1.2,止损
000019,深粮控股,0,2024-12-05,2024-12-06,2024-12-06,1,7.02,6.93576,-1.358033,-1.2,止损
000025,特 力Ａ,0,2024-12-05,2024-12-06,2024-12-06,1,18.73,18.50524,-1.358033,-1.2,止损
000020,深华发Ａ,0,2024-12-06,2024-12-09,2024-12-09,1,14.65,14.4742,-1.358033,-1.2,止损
000029,深深房Ａ,0,2024-12-06,2024-12-09,2024-12-09,1,16.64,16.44032,-1.358033,-1.2,止损
000009,中国宝安,0,2024-12-10,2024-12-11,2024-12-11,1,9.83,9.92,0.754148,-0.203459,时间退出
000020,深华发Ａ,0,2024-12-10,2024-12-11,2024-12-11,1,14.55,14.85,1.898606,-1.030928,时间退出
000025,特 力Ａ,0,2024-12-11,2024-12-12,2024-12-12,1,18.48,18.64,0.704464,-0.4329,时间退出
000027,深圳能源,0,2024-12-11,2024-12-12,2024-12-12,1,6.69,6.72,0.287761,-0.597907,时间退出
000028,国药一致,0,2024-12-11,2024-12-12,2024-12-12,1,30.09,30.8,2.195862,-0.564972,时间退出
000029,深深房Ａ,0,2024-12-11,2024-12-12,2024-12-12,1,16.36,16.7,1.914963,-1.100244,时间退出
000009,中国宝安,0,2024-12-12,2024-12-13,2024-12-13,1,9.92,9.80096,-1.358033,-1.2,止损
000029,深深房Ａ,0,2024-12-13,2024-12-16,2024-12-16,1,16.19,16.12,-0.591626,-1.111797,时间退出
000001,平安银行,0,2024-12-16,2024-12-17,2024-12-17,1,11.57,11.53,-0.505121,-0.432152,时间退出
000019,深粮控股,0,2024-12-16,2024-12-17,2024-12-17,1,7.05,6.9654,-1.358033,-1.2,止损
000020,深华发Ａ,0,2024-12-16,2024-12-17,2024-12-17,1,14.41,14.23708,-1.358033,-1.2,止损
000026,飞亚达,0,2024-12-18,2024-12-19,2024-12-19,1,10.99,10.85812,-1.358033,-1.2,止损
000028,国药一致,0,2024-12-18,2024-12-19,2024-12-19,1,29.75,29.9,0.343443,-0.504202,时间退出
000006,深振业Ａ,0,2024-12-20,2024-12-23,2024-12-23,1,8.7,8.5956,-1.358033,-1.2,止损
000026,飞亚达,0,2024-12-20,2024-12-23,2024-12-23,1,11.12,10.98656,-1.358033,-1.2,止损
000028,国药一致,0,2024-12-20,2024-12-23,2024-12-23,1,29.92,30.5,1.77545,-0.501337,时间退出
000028,国药一致,0,2024-12-30,2024-12-31,2024-12-31,1,30.31,29.94628,-1.358033,-1.2,止损
