ts_code,name,industry,close,pct_chg,limit_times,open_times,fd_amount,first_time,last_time,theme,status,lu_desc,turnover_rate,volume_ratio,circ_mv,mf_net_amount,mf_buy_elg_amount,mf_buy_lg_amount,score
002261.SZ,拓维信息,软件开发,36.52,10.0,1,0,464133191.0,93409,93409,AI应用、DeepSeek,首板,AI应用,8.1717,1.79,4183922.1302,156876.3,185254.08,-28377.78,73.61363636363636
001209.SZ,洪兴股份,服装家纺,32.52,10.01,3,0,389252530.0,102039,102039,服装家纺、谷子经济,3连板,服装家纺,20.8584,2.03,312499.7563,9535.74,15447.71,-5911.97,73.27272727272727
600549.SH,厦门钨业,小金属,70.15,10.0,1,0,218425002.0,132354,132354,金属钨、有色金属,首板,有色金属,5.6062,1.17,10900832.8397,54436.56,77736.63,-23300.07,70.56818181818181
002167.SZ,东方锆业,小金属,15.58,10.03,1,0,150887501.0,101639,101639,有色金属、固态电池,首板,有色金属,11.2286,2.27,1180032.2584,40298.25,43614.86,-3316.62,70.47727272727273
300830.SZ,金现代,软件开发,14.88,20.0,1,0,131927136.0,93651,93651,AI应用、人工智能,首板,AI应用,20.2046,1.25,501582.1407,30642.94,37913.26,-7270.31,69.61363636363636
000593.SZ,德龙汇能,燃气Ⅱ,15.74,9.99,1,0,187970228.0,132603,132603,实控人变更、天然气,3天2板,实控人变更,9.8684,1.38,564252.508,11006.59,11426.62,-420.03,64.3409090909091
002655.SZ,共达电声,消费电子,17.12,10.03,1,0,138660016.0,110851,110851,AI眼镜、端侧AI,首板,端侧AI,14.2473,1.12,619389.8728,23325.34,19207.71,4117.63,63.25
001216.SZ,华瓷股份,家居用品,20.66,10.01,1,0,122671559.0,145239,145239,有色金属、地产链,首板,有色金属,10.5758,5.7,507312.9091,9163.11,7406.1,1757.01,63.1590909090909
000628.SZ,高新发展,房屋建设,57.31,10.0,1,0,137386684.0,110009,110009,芯片、地产链,首板,芯片,11.9477,1.18,1101719.3306,20776.45,21185.25,-408.8,62.59090909090909
002378.SZ,章源钨业,小金属,40.6,10.0,3,0,258991987.0,93636,93636,金属钨、有色金属,7天5板,有色金属,3.3429,0.4,4852192.7581,6659.31,8951.31,-2292.0,61.61363636363636
300317.SZ,珈伟新能,电力,5.36,19.91,1,0,89963515.0,130309,130309,光伏EPC、绿色电力,首板,光伏,26.9794,5.87,444297.5851,25106.83,18060.29,7046.54,61.61363636363636
603257.SH,中国瑞林,工程咨询,66.43,10.0,1,0,122464170.0,141010,141010,稀土永磁、基础建设,首板,稀土永磁,25.0858,4.61,165410.7,4874.77,6278.3,-1403.53,59.70454545454545
000993.SZ,闽东电力,电力,14.43,9.98,1,0,97510248.0,130957,130957,绿色电力、电力,首板,电力,8.3738,1.74,634555.7464,12841.68,16985.99,-4144.31,58.29545454545454
002015.SZ,协鑫能科,电力,14.16,10.02,1,0,109150335.0,111427,111427,光伏、储能,首板,光伏,7.6824,1.44,2298627.6534,30493.31,30084.67,408.65,57.93181818181817
603232.SH,格尔软件,软件开发,26.05,10.01,1,0,172255625.0,92500,92500,量子科技、算力,首板,数字经济,4.4114,0.49,602536.487,13976.79,17688.66,-3711.86,56.52272727272726
002216.SZ,三全食品,食品加工,12.76,10.0,1,0,133650932.0,93603,93603,食品饮料、物流,首板,食品饮料,3.9683,2.74,804396.7864,8928.12,10273.85,-1345.73,56.15909090909091
000899.SZ,赣能股份,电力,14.61,10.02,3,0,140661588.0,93015,93015,绿色电力、电力,3连板,电力,3.6748,1.18,1425465.2074,1272.8,4788.5,-3515.71,55.29545454545455
603093.SH,南华期货,多元金融,19.66,10.02,1,0,97442430.0,103522,103522,香港牌照、金融概念,首板,金融概念,3.1805,5.22,1199389.5456,13950.57,10024.22,3926.35,51.204545454545446
002350.SZ,北京科锐,电网设备,12.32,10.0,2,0,184573275.0,93009,93009,电气设备、智能电网,2连板,智能电网,3.3294,0.82,653639.4123,3356.99,5528.96,-2171.97,51.13636363636363
002182.SZ,宝武镁业,小金属,21.79,9.99,1,0,112861305.0,94224,94224,有色金属、金属镁,首板,有色金属,3.6287,1.05,1885951.6525,15428.44,13569.95,1858.49,50.79545454545454
002046.SZ,国机精工,通用设备,52.57,10.0,1,0,76413964.0,135939,135939,商业航天、芯片,首板,金刚石概念,6.9442,2.14,2779832.2707,27422.77,33468.55,-6045.78,50.11363636363636
600301.SH,华锡有色,小金属,64.76,10.01,1,0,106627016.0,142851,142851,金属锡、金属锑,3天2板,有色金属,5.8942,1.46,1783073.8702,8882.7,8245.94,636.77,49.36363636363635
603381.SH,永臻股份,光伏设备,29.5,9.99,1,0,121672425.0,100504,100504,光伏、专精特新,首板,光伏,6.8464,0.56,419306.1737,6373.73,4597.53,1776.2,48.6590909090909
003035.SZ,南网能源,电力,8.22,10.04,1,0,83700602.0,130415,130415,虚拟电厂、工商业储能,4天2板,智能电网,5.1753,1.54,3113636.3629,34599.58,37747.79,-3148.21,48.56818181818181
002980.SZ,华盛昌,电网设备,28.97,9.98,1,0,112525853.0,94427,94427,AI眼镜、智能电网,首板,智能电网,7.503,1.23,293726.6678,4600.98,5998.62,-1397.65,47.93181818181817
000657.SZ,中钨高新,小金属,66.22,10.0,1,0,87968700.0,133048,133048,金属钨、PCB设备,3天2板,有色金属,6.5665,0.97,9621271.6147,24203.94,39345.97,-15142.03,47.65909090909091
002356.SZ,赫美集团,一般零售,4.22,9.9,1,0,53537992.0,111330,111330,甲醇、化工,首板,化工,9.9376,4.52,553346.2429,14847.39,14295.39,552.01,47.52272727272727
002394.SZ,联发股份,纺织制造,15.66,9.97,1,0,83724577.0,102315,102315,服装家纺、贬值受益,首板,服装家纺,7.3097,3.4,506265.259,6691.18,6911.41,-220.22,47.24999999999999
002628.SZ,成都路桥,基础建设,5.27,10.02,1,0,70790550.0,111354,111354,机器人概念、基础建设,首板,机器人概念,10.0331,3.71,397244.5907,10180.99,9797.03,383.96,46.75
603217.SH,元利科技,化学制品,28.33,10.02,1,0,89985032.0,141102,141102,化工、环保,首板,化工,4.4713,3.77,589512.1708,5134.85,6534.64,-1399.79,46.1590909090909
600230.SH,沧州大化,化学制品,24.76,10.0,1,0,73536556.0,142618,142618,化工、化肥,3天2板,化工,9.5646,1.62,1024967.4731,12978.54,13000.24,-21.7,45.43181818181818
002843.SZ,泰嘉股份,通用设备,25.27,10.01,2,0,107560491.0,92500,92500,电源、光伏,5天3板,电源,4.2,0.39,633752.8042,5607.79,7793.39,-2185.6,44.45454545454545
301226.SZ,祥明智能,电机Ⅱ,41.82,20.0,1,0,33752922.0,143800,143800,机器人概念、光伏,首板,机器人概念,16.7122,5.75,455001.6,8980.17,8919.06,61.11,43.522727272727266
002973.SZ,侨银股份,环境治理,15.59,10.02,1,0,86688195.0,130542,130542,环保、机器人概念,首板,环保,4.0027,2.81,485679.0132,5145.44,5383.16,-237.72,43.06818181818181
688118.SH,普元信息,软件开发,35.5,20.01,1,0,85835627.0,93431,93431,AI应用、人工智能,首板,AI应用,6.7612,0.92,331274.3312,4708.84,5463.52,-754.68,43.022727272727266
605398.SH,新炬网络,IT服务Ⅱ,33.41,10.01,1,0,101111355.0,93407,93407,AI应用、阿里系AI,首板,AI应用,3.0902,1.04,543635.4222,6723.56,7711.89,-988.33,42.11363636363635
603117.SH,万林物流,物流,5.96,9.96,1,0,73662739.0,111548,111548,物流、并购重组,首板,物流,5.6356,2.77,357121.8542,5864.51,5189.13,675.38,41.52272727272727
603578.SH,三星新材,家电零部,15.98,9.98,1,0,73954672.0,141434,141434,光伏玻璃、光伏,首板,光伏,6.3511,1.76,288210.5371,2558.41,2205.32,353.09,37.340909090909086
003018.SZ,金富科技,包装印刷,26.57,10.02,1,0,45880730.0,104103,104103,液冷、算力,首板,算力,17.8696,0.64,260330.0037,5526.64,5129.68,396.96,35.20454545454545
603226.SH,菲林格尔,家居用品,31.82,9.99,1,0,71023258.0,130029,130029,装修家具、地产链,首板,地产链,1.8705,2.39,1131174.8121,2198.22,1679.11,519.11,31.704545454545457
002633.SZ,申科股份,通用设备,19.35,10.01,1,0,41463760.0,95939,95939,海洋经济、发电机,首板,燃气轮机,4.9478,2.31,289125.2813,3807.44,4098.3,-290.86,30.93181818181818
603353.SH,和顺石油,炼化及贸,42.13,10.0,1,0,62699551.0,102218,102218,石油石化、并购重组,首板,石油石化,4.9872,1.46,717971.034,1580.94,4017.04,-2436.1,30.81818181818182
600725.SH,云维股份,综合Ⅱ,5.39,10.0,1,0,45705744.0,93910,93910,电力、煤炭,首板,电力,2.7315,1.35,664301.33,4554.57,5321.93,-767.36,26.931818181818187
603950.SH,长源东谷,汽车零部件,44.51,10.01,2,0,44443235.0,93029,93029,柴油发电机、发电机,2连板,发电机,1.5428,0.4,1440373.8668,2240.33,3436.79,-1196.46,23.795454545454543
